timestamp,label,cpu_percent,cpu_freq_mhz,mem_used_mb,mem_available_mb,mem_percent,swap_used_mb,swap_percent,cpu_temp_c,cpu_core_0,cpu_core_1,cpu_core_2,cpu_core_3,bottleneck_label
2026-05-12 17:07:05.931,idle,0.12291666666666667,0.19346517626827175,0.29688752873255986,0.9907150467035009,0.1384615384615384,0.3735031430440596,0.20000000000000018,0.0,0.24924924924924927,0.05,0.25,0.04,0
2026-05-12 17:07:06.935,idle,0.18333333333333335,0.19346517626827175,0.30666328112471275,0.984483783850747,0.14871794871794863,0.3735031430440596,0.20000000000000018,0.0,0.32232232232232233,0.091,0.313,0.099,0
2026-05-12 17:07:07.938,idle,0.12291666666666667,0.19346517626827175,0.31105334901373816,0.985902232353014,0.14358974358974308,0.3735031430440596,0.20000000000000018,0.0,0.2312312312312312,0.07,0.23,0.06,0
2026-05-12 17:07:08.941,idle,0.060416666666666674,0.19346517626827175,0.310979847116053,0.9855429746537498,0.14358974358974308,0.3735031430440596,0.20000000000000018,0.0,0.15915915915915915,0.04,0.12,0.03,0
2026-05-12 17:07:09.951,idle,0.40625,0.19346517626827175,0.31817635109851894,0.9792683531131536,0.15384615384615374,0.3735031430440596,0.20000000000000018,0.0,0.7327327327327328,0.11,0.74,0.091,0
2026-05-12 17:07:10.955,idle,0.28854166666666664,0.19346517626827175,0.31995376062436565,0.9771437774088849,0.15384615384615374,0.3735031430440596,0.20000000000000018,0.0,0.5495495495495496,0.1,0.495,0.09,1
2026-05-12 17:07:11.960,idle,0.25729166666666664,0.19346517626827175,0.32008071844763997,0.9771499715071479,0.15384615384615374,0.3735031430440596,0.20000000000000018,0.0,0.5045045045045046,0.071,0.44,0.081,0
2026-05-12 17:07:12.964,idle,0.209375,0.19346517626827175,0.3215708023734436,0.9757748816927232,0.15384615384615374,0.3735031430440596,0.20000000000000018,0.0,0.4034034034034034,0.07,0.39,0.07,0
2026-05-12 17:07:13.967,idle,0.13854166666666667,0.19346517626827175,0.3215708023734436,0.976090780704145,0.15384615384615374,0.3735031430440596,0.20000000000000018,0.0,0.31631631631631635,0.04,0.263,0.02,0
2026-05-12 17:07:14.972,idle,0.02291666666666667,0.19346517626827175,0.31780215961939406,0.9795470875349968,0.15384615384615374,0.3735031430440596,0.20000000000000018,0.0,0.09909909909909909,0.02,0.07,0.02,0
2026-05-12 17:07:15.975,idle,0.03437499999999999,0.19346517626827175,0.31832335489388974,0.9786489432868362,0.15384615384615374,0.3735031430440596,0.20000000000000018,0.0,0.11111111111111109,0.03,0.091,0.02,0
2026-05-12 17:07:16.980,idle,0.09375,0.19346517626827175,0.31734110226118517,0.9800054508064715,0.15384615384615374,0.3735031430440596,0.20000000000000018,0.0,0.21921921921921922,0.04,0.17,0.05,0
2026-05-12 17:07:17.984,idle,0.04375,0.19346517626827175,0.3163187576842894,0.9808106835806845,0.14871794871794863,0.3735031430440596,0.20000000000000018,0.0,0.12812812812812813,0.03,0.11,0.02,0
2026-05-12 17:07:18.986,idle,0.3208333333333333,0.19346517626827175,0.3240698668947455,0.9739042640172444,0.1589743589743584,0.3735031430440596,0.20000000000000018,0.0,0.6056056056056056,0.09,0.5760000000000001,0.08199999999999999,0
2026-05-12 17:07:19.987,idle,0.23333333333333328,0.19346517626827175,0.32644197359277305,0.9719221525730284,0.1589743589743584,0.3735031430440596,0.20000000000000018,0.0,0.4544544544544545,0.071,0.41000000000000003,0.081,0
2026-05-12 17:07:20.988,idle,0.10520833333333332,0.19346517626827175,0.3263484257229914,0.9719717053591339,0.1589743589743584,0.3735031430440596,0.20000000000000018,0.0,0.2622622622622623,0.03,0.192,0.04,0
2026-05-12 17:07:21.997,idle,0.2020833333333333,0.19346517626827175,0.32120329288501637,0.9765739203686727,0.15384615384615374,0.3735031430440596,0.20000000000000018,0.0,0.41541541541541543,0.069,0.35000000000000003,0.06,0
2026-05-12 17:07:23.003,idle,0.2958333333333333,0.19346517626827175,0.3290813599187472,0.9696551126087063,0.16410256410256396,0.3735031430440596,0.20000000000000018,0.0,0.5695695695695696,0.081,0.53,0.071,0
2026-05-12 17:07:24.004,idle,0.128125,0.19346517626827175,0.3290813599187472,0.9696551126087063,0.16410256410256396,0.3735031430440596,0.20000000000000018,0.0,0.2992992992992993,0.04,0.23199999999999998,0.04,0
2026-05-12 17:07:25.007,idle,0.18229166666666666,0.19346517626827175,0.3340594429892554,0.9648732687495356,0.16923076923076907,0.3735031430440596,0.20000000000000018,0.0,0.3533533533533534,0.10099999999999999,0.263,0.10099999999999999,0
2026-05-12 17:07:26.011,idle,0.048958333333333326,0.19346517626827175,0.33381220933340483,0.9653502143157999,0.16410256410256396,0.3735031430440596,0.20000000000000018,0.0,0.16916916916916916,0.02,0.1,0.02,0
2026-05-12 17:07:27.016,idle,0.2020833333333333,0.19346517626827175,0.33102581921205987,0.9677225539505958,0.16410256410256396,0.3735031430440596,0.20000000000000018,0.0,0.4134134134134134,0.06,0.364,0.06,0
2026-05-12 17:07:28.018,idle,0.35,0.19346517626827175,0.3273106323835995,0.9715752830702906,0.1589743589743584,0.3735031430440596,0.20000000000000018,0.0,0.6566566566566567,0.10099999999999999,0.61,0.092,0
